Country,Year,expenditure-ratio,revenue-ratio,debtratio,cyc_rev,cyc_exp,ham_exp,ham_rev
CzechRepublic,1998,42.126,37.93974982,14.03766686,38.77497713,43.98933351,40.77598591,39.40013666
CzechRepublic,1999,41.467,38.32734029,15.29367688,38.76664195,43.63899747,42.46806167,39.56562783
CzechRepublic,2000,40.94,37.3678706,17.02857431,38.80747054,43.41345285,42.46167976,39.17461297
CzechRepublic,2001,43.183,37.70090313,22.79081479,38.89875794,43.28776262,42.32561935,39.42667523
CzechRepublic,2002,44.826,38.46794574,25.92962294,39.02740315,43.21225518,42.32929629,38.96432458
CzechRepublic,2003,49.362,42.47541376,28.31023882,39.16832667,43.13621135,42.80848971,39.19979708
CzechRepublic,2004,42.629,40.24318042,28.58083041,39.29085439,43.02504937,42.76903454,39.51097927
CzechRepublic,2005,42.316,39.32187312,27.90987374,39.3973831,42.90644538,43.33579847,41.22521413
CzechRepublic,2006,41.332,39.16153092,27.68645876,39.49983283,42.804115,41.45862483,39.86721827
CzechRepublic,2007,40.355,39.70212313,27.45198173,39.60936851,42.73586943,42.40266724,39.6600092
CzechRepublic,2008,40.681,38.69915682,28.28075394,39.73377207,42.70479871,42.27326998,39.67238215
CzechRepublic,2009,44.182,38.73417625,33.54702523,39.88175295,42.69018417,42.24478127,39.92760768
CzechRepublic,2010,43.56,39.36582138,37.3937964,40.05167449,42.65106916,42.44815649,39.43198558
CzechRepublic,2011,43.077,40.35022372,39.86562995,40.23042421,42.56141521,43.02552192,39.53874875
CzechRepublic,2012,44.49,40.55945641,44.48030767,40.39803113,42.40427313,42.3943724,39.81674815
CzechRepublic,2013,42.614,41.36578591,44.92036353,40.53572227,42.1678496,42.40041881,40.19754491
CzechRepublic,2014,42.446,40.34628716,42.18151311,40.62633887,41.86120854,42.72471971,40.20120042
CzechRepublic,2015,41.68,41.06553373,39.93728803,40.66102284,41.4978754,42.17953612,40.54112549
CzechRepublic,2016,39.501,40.21992977,36.82790318,40.62811555,41.09722354,42.42813178,40.01398715
CzechRepublic,2017,38.892,40.45095465,34.62049943,40.5200035,40.68044755,42.31616525,40.42684339
CzechRepublic,2018,40.606,41.70047195,32.54736851,40.32499131,40.25277981,42.04044862,39.98503217
CzechRepublic,2019,41.601,42.34681651,30.74674827,40.03069313,39.80156821,42.25521988,40.16474412
Estonia,1998,39.101,38.37059069,5.934447461,38.16286829,37.77966022,37.89123874,38.2086722
Estonia,1999,40.083,36.78891011,6.433448727,37.68482485,37.27324985,37.64027451,38.09041216
Estonia,2000,36.316,36.27413309,5.110088485,37.27300982,36.78686937,37.84763634,37.99680757
Estonia,2001,34.957,35.15846602,4.770803188,36.95517453,36.36255528,37.99463027,37.64169656
Estonia,2002,35.863,36.2821989,5.660454089,36.74908152,36.03763537,37.60662669,37.41567296
Estonia,2003,35.003,36.8230384,5.598710008,36.65452623,35.83538186,37.39252184,37.15736696
Estonia,2004,34.086,36.42281834,5.113256797,36.66663531,35.77732066,37.46564496,37.28765012
Estonia,2005,33.773,34.85460079,4.707742947,36.7822205,35.87665383,37.38932771,37.48235246
Estonia,2006,33.493,36.35756697,4.638100727,36.99565539,36.12967022,37.27510814,37.44735715
Estonia,2007,33.79,36.51920112,3.771367039,37.28203736,36.51162216,37.22490779,37.10997649
Estonia,2008,39.425,36.77858471,4.506659166,37.61008293,36.97139528,37.18912498,37.27818323
Estonia,2009,45.56,43.38280923,7.193591768,37.94088021,37.43065896,37.21607256,37.42913988
Estonia,2010,39.971,40.15897374,6.611884743,38.22720239,37.83561865,37.82824471,37.49252851
Estonia,2011,37.108,38.17020701,6.109116963,38.47624189,38.21377322,38.59027311,38.79998833
Estonia,2012,38.967,38.68140242,9.767369629,38.71450889,38.61397532,38.09874335,38.6967504
Estonia,2013,38.181,38.36088885,10.16338201,38.96545319,39.0740199,37.68990227,38.05299242
Estonia,2014,37.542,38.24449151,10.5611386,39.25219354,39.63523214,37.83860188,37.99452417
Estonia,2015,39.255,39.39797002,10.00044789,39.59180305,40.33000703,37.78739471,37.97270356
Estonia,2016,39.489,38.97303759,10.21867833,39.9912778,41.16980723,37.70444381,37.92454761
Estonia,2017,39.357,38.58569992,9.338998661,40.45567555,42.15534533,37.87742255,38.14005286
Estonia,2018,39.129,38.56626369,8.356273563,40.97987164,43.27052585,37.93343263,38.14893741
Estonia,2019,38.956,38.65614859,8.421531248,41.54004167,44.47126987,37.92342644,38.0396887
Hungary,1998,50.794,43.40686129,60.51842142,43.11506201,48.29319356,50.1557514,45.38071815
Hungary,1999,49.021,43.79405246,60.40328434,43.25298157,48.80845154,49.2472858,43.76411969
Hungary,2000,47.347,44.36832729,55.70541904,43.32429489,49.19497136,49.17547738,43.84358779
Hungary,2001,47.252,43.31011709,52.25335905,43.35808752,49.49716657,49.13849996,44.21413202
Hungary,2002,50.995,42.23131882,55.57937001,43.39388538,49.74097099,48.61112771,44.50570743
Hungary,2003,49.112,42.00613249,58.09836012,43.47073464,49.92986679,48.3139609,43.72080148
Hungary,2004,48.797,42.28107109,58.93846013,43.61605582,50.07987643,48.80366431,43.2366862
Hungary,2005,49.462,41.7471982,60.64164651,43.84262343,50.19884369,49.18493771,43.30060159
Hungary,2006,51.419,42.20487665,64.503928,44.14986213,50.2817836,48.82254094,43.51914227
Hungary,2007,49.94,44.91151814,65.65364804,44.5162423,50.31634274,48.85890821,43.12599615
Hungary,2008,48.803,45.07169797,71.84282534,44.90078451,50.30153987,49.23633247,43.52036863
Hungary,2009,50.678,45.9924788,78.21654217,45.26646206,50.23263031,49.36885211,45.15750925
Hungary,2010,49.2,44.81370427,80.64089482,45.57795738,50.08988399,48.96398728,44.73913985
Hungary,2011,49.35,44.16324751,80.8123469,45.80721308,49.85802452,49.02426083,45.29522223
Hungary,2012,49.359,47.09420399,78.55756375,45.91852925,49.51287669,49.14298794,44.36684131
Hungary,2013,50.164,47.62467899,77.35539138,45.85976629,49.02518503,48.91222162,44.17892412
Hungary,2014,50.261,47.50607153,76.80064004,45.59054139,48.36415532,48.93891535,46.17212272
Hungary,2015,50.631,48.66093985,76.18191287,45.08812083,47.51038147,49.04923387,45.94663671
Hungary,2016,47.192,45.42816726,75.49754671,44.34892621,46.46342586,49.19907165,45.76903332
Hungary,2017,46.972,44.59099568,72.90266998,43.40510731,45.25405702,49.26554986,46.52792587
Hungary,2018,46.654,44.36479526,70.23294256,42.29960635,43.92032926,48.86363847,44.24536286
Hungary,2019,45.124,43.29152954,66.34442419,41.08722438,42.5174763,48.24979425,44.33340452
Latvia,1998,38.075,38.10429578,9.04871148,36.64086037,37.86754322,37.50713175,35.77247752
Latvia,1999,40.928,37.18764603,12.0935694,35.79726643,37.12901569,37.45523669,36.70386037
Latvia,2000,37.236,34.50378402,12.11002421,35.07680398,36.53253928,38.50306125,37.25162034
Latvia,2001,34.783,32.8308263,13.86601388,34.50497799,36.09412496,38.63158684,35.76391243
Latvia,2002,35.104,32.81772999,13.04377598,34.10156322,35.8368183,36.56326589,33.86903671
Latvia,2003,33.547,32.08968359,14.14606721,33.86959294,35.77055363,36.8137813,33.68786816
Latvia,2004,34.681,33.76071881,14.65619386,33.79926205,35.8979371,37.63475615,34.46843174
Latvia,2005,34.2,33.83572259,11.94847069,33.86296639,36.19933931,37.01901347,33.84290453
Latvia,2006,36.044,35.55587744,10.07738868,34.03271635,36.64296149,37.8522304,35.63749849
Latvia,2007,34.084,33.57088603,8.488451766,34.28024987,37.17701148,37.36110579,34.91156215
Latvia,2008,37.723,33.52583299,18.63846707,34.59253654,37.74370752,38.11966667,36.36863776
Latvia,2009,44.425,34.93902721,36.93480172,34.94945226,38.25433772,36.92585807,33.83198975
Latvia,2010,45.313,36.72076005,48.06497017,35.32020595,38.61998311,38.71673367,34.73253168
Latvia,2011,40.323,36.07598961,43.86813643,35.67390224,38.81343135,39.90725115,35.98008849
Latvia,2012,37.898,36.68323925,42.41427988,35.99365131,38.87440027,38.25641265,36.85713677
Latvia,2013,37.697,36.52714665,40.25476809,36.26658421,38.85770339,36.3239621,35.45425072
Latvia,2014,37.994,36.55140494,41.55462509,36.48672789,38.80839022,36.96129909,36.28637655
Latvia,2015,37.95,36.59328176,37.27673497,36.6507149,38.75990324,37.59899111,35.86348134
Latvia,2016,36.854,36.91777467,40.86127674,36.75582458,38.73754103,37.75708631,35.95841977
Latvia,2017,38.01,37.4884417,39.25205445,36.79876192,38.75850312,37.65596303,35.9832732
Latvia,2018,38.506,37.7710153,37.22426138,36.77785143,38.82115365,37.30102795,36.24501281
Latvia,2019,37.498,38.00586268,36.8961409,36.69831439,38.91637173,38.00757865,36.58657611
Lithuania,1998,41.342,38.31569452,16.53911084,36.06168891,39.03768589,37.2328368,34.74682091
Lithuania,1999,41.032,38.21322654,22.69983799,35.77770124,38.74726167,43.25505525,38.03032551
Lithuania,2000,39.607,36.43928076,23.48824461,35.43693362,38.34319018,35.52251685,34.44733356
Lithuania,2001,37.207,33.69737208,22.89460999,35.07494545,37.88816843,37.63610017,34.62312114
Lithuania,2002,35.276,33.43059862,22.13776495,34.73731958,37.45753155,37.03055482,33.51001765
Lithuania,2003,33.737,32.47155484,20.36591874,34.45586315,37.11980296,36.23902372,32.81744493
Lithuania,2004,34.256,32.86277252,18.667406,34.24931606,36.9216908,35.91916304,34.38478332
Lithuania,2005,34.226,33.88488404,17.6259795,34.11657516,36.87607515,35.66884007,33.91749703
Lithuania,2006,34.426,34.15818129,17.2426564,34.04267184,36.96917918,36.30713947,34.78754386
Lithuania,2007,35.382,34.57424442,15.87339845,34.01032059,37.16072534,36.16148981,35.21754383
Lithuania,2008,38.303,35.21236353,14.56453079,34.003391,37.38500427,36.2650684,34.74875746
Lithuania,2009,45.089,35.96169225,27.95091954,34.01139188,37.55851933,36.673331,34.85123184
Lithuania,2010,42.501,35.58155515,36.31096891,34.03592177,37.60695389,37.83352712,35.01036667
Lithuania,2011,42.626,33.67414012,37.23301702,34.09808224,37.53129609,40.35183292,35.10208685
Lithuania,2012,36.219,33.07066164,39.79420946,34.23443115,37.38147453,37.39357436,34.37283095
Lithuania,2013,35.548,32.93858292,38.73312506,34.47728699,37.25836488,38.10805341,33.34774052
Lithuania,2014,34.733,34.11413618,40.57380331,34.8473305,37.25121803,35.0013435,34.16048559
Lithuania,2015,35.112,34.84248126,42.55091988,35.34985542,37.43218123,36.2995691,34.45671806
Lithuania,2016,34.182,34.41419056,39.71545339,35.98282353,37.84821957,36.07809282,35.32158449
Lithuania,2017,33.169,33.62349866,39.13067838,36.73912287,38.52309631,36.46610422,35.05742502
Lithuania,2018,34.05,34.64779829,33.84935584,37.59595515,39.44391252,35.92389617,34.30953512
Lithuania,2019,35.017,35.14912157,36.18136907,38.49936585,40.54422829,35.67288697,34.05683745
Poland,1998,45.592,41.38447242,38.82158321,40.85854628,44.16034152,45.9395045,41.06982713
Poland,1999,43.971,41.69539614,39.5020771,40.97097497,44.55302284,44.00473243,40.84224792
Poland,2000,42.191,39.21189987,36.55688301,40.95065138,44.79265673,43.70559638,40.21196709
Poland,2001,44.916,40.14701484,37.22381685,40.84532367,44.91931875,43.34130147,40.08259471
Poland,2002,45.402,40.55584751,41.77868014,40.68535243,44.94706785,42.87109069,39.82600652
Poland,2003,45.792,39.71475181,46.63045406,40.49411521,44.88992981,44.02000932,39.69335246
Poland,2004,43.59,38.54620593,45.1143799,40.29369448,44.76647974,43.91859039,39.83114817
Poland,2005,44.232,40.27032675,46.60700028,40.0983791,44.60431344,44.00844091,39.77365558
Poland,2006,44.427,40.87018052,47.25432512,39.90498302,44.41926191,43.18558444,39.55726237
Poland,2007,42.89,41.03746616,44.49598446,39.71203969,44.22343302,43.63574856,39.6430936
Poland,2008,44.016,40.4161052,46.7170701,39.52773452,44.02901204,43.64050092,39.8793838
Poland,2009,44.83,37.57695626,49.814506,39.37350719,43.83484987,43.0739205,39.95681237
Poland,2010,45.808,38.41069454,53.50316409,39.27968108,43.63966732,43.62936295,39.9012855
Poland,2011,43.88,39.00016849,54.50357248,39.25861407,43.45213669,43.80565767,39.51331528
Poland,2012,42.859,39.11784832,54.06472272,39.31397417,43.30261362,44.07172579,39.3345007
Poland,2013,42.595,38.41281433,56.02513858,39.44684494,43.22573236,43.28717105,39.48332912
Poland,2014,42.395,38.74838674,50.78823317,39.65634867,43.25169104,43.11796317,39.55402523
